Movie,Co-Producing Countries,Genre,Production Budget ($),Worldwide Box Office to Date ($),Trailer
Bad Boys For Life,United States,Action,90000000.0,424471663,No Trailer
Tenet,"United Kingdom,United States",Action,205000000.0,359518466,https://www.the-numbers.com/movie/Tenet-(2020)#tab=trailer
Sonic The Hedgehog,"Canada,Japan,United States",Adventure,90000000.0,302536124,https://www.the-numbers.com/movie/Sonic-The-Hedgehog-(Japan)-(2020)#tab=trailer
Dolittle,United States,Adventure,175000000.0,251509294,https://www.the-numbers.com/movie/Dolittle#tab=trailer
The Croods: A New Age,United States,Adventure,65000000.0,214766238,https://www.the-numbers.com/movie/Croods-A-New-Age-The-(2020)#tab=trailer
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),United States,Action,82000000.0,201005552,https://www.the-numbers.com/movie/Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020)#tab=trailer
Wonder Woman 1984,United States,Action,200000000.0,166360232,https://www.the-numbers.com/movie/Wonder-Woman-1984-(2020)#tab=trailer
The Invisible Man,"Australia,United States",Horror,7000000.0,139011965,https://www.the-numbers.com/movie/Invisible-Man-The-(2020)#tab=trailer
Onward,United States,Adventure,200000000.0,133357601,https://www.the-numbers.com/movie/Onward-(2020)#tab=trailer
Soul,United States,Adventure,21500000.0,120070522,https://www.the-numbers.com/movie/Soul-(2020)#tab=trailer
The Call of the Wild,United States,Adventure,125000000.0,107351191,https://www.the-numbers.com/movie/Call-of-the-Wild-The-(2020)#tab=trailer
Mulan,"China,United States",Adventure,200000000.0,69973540,https://www.the-numbers.com/movie/Mulan-(2020)#tab=trailer
Trolls: World Tour,United States,Adventure,21500000.0,48866407,https://www.the-numbers.com/movie/Trolls-World-Tour-(2020)#tab=trailer
Fantasy Island,United States,Horror,7000000.0,48518957,https://www.the-numbers.com/movie/Fantasy-Island-(2020)#tab=trailer
Monster Hunter,"Germany,United States",Action,60000000.0,47853893,No Trailer
The New Mutants,United States,Horror,67000000.0,47535251,https://www.the-numbers.com/movie/New-Mutants-The-(2020)#tab=trailer
The War with Grandpa,United States,Comedy,38000000.0,46819069,https://www.the-numbers.com/movie/War-with-Grandpa-The-(2020)#tab=trailer
After We Collided,United States,Drama,21500000.0,43306392,No Trailer
Greenland,United States,Thriller/Suspense,34000000.0,40629075,https://www.the-numbers.com/movie/Greenland#tab=trailer
Unhinged,United States,Thriller/Suspense,33000000.0,37339104,https://www.the-numbers.com/movie/Unhinged-(2020)#tab=trailer
Honest Thief,United States,Thriller/Suspense,30000000.0,32609631,No Trailer
The Witches,United States,Adventure,21500000.0,28543567,No Trailer
Emma.,"United Kingdom,United States",Drama,10000000.0,27365788,https://www.the-numbers.com/movie/Emma-(UK)#tab=trailer
Like a Boss,United States,Comedy,29000000.0,26563888,https://www.the-numbers.com/movie/Like-a-Boss#tab=trailer
Scoob!,United States,Adventure,21500000.0,26276211,https://www.the-numbers.com/movie/Scoob#tab=trailer
Gretel & Hansel,United States,Horror,5000000.0,22052456,https://www.the-numbers.com/movie/Gretel-and-Hansel-(2020)#tab=trailer
The Photograph,United States,Drama,15000000.0,20704381,https://www.the-numbers.com/movie/Photograph-The-(2020)#tab=trailer
